listing_id,room_type,property_type,accommodates,bedrooms,minimum_nights,maximum_nights,instant_bookable,bathrooms,is_superhost,count,name,total_reviews_before_cutoff,unique_reviewers_before_cutoff,days_since_last_review,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,sum_future_available_days_30d,avg_future_available_days_30d,high_demand_proxy,cutoff_date,version
27886,Private room,Private room in houseboat,0.06666666666666667,0.058823529411764705,0.002,0.31583629893238435,False,1.5,True,1,Centrum-West,311.0,311.0,94.0,16,0.17582417582417584,3.0,30.0,11,0.3548387096774194,3.0,30.0,1,0.03333333333333333,1,2025-12-10,v1
28871,Private room,Private room in rental unit,0.06666666666666667,0.058823529411764705,0.001,0.6485765124555161,False,1,True,2,Centrum-West,732.0,729.0,94.0,11,0.12087912087912088,1.8681318681318682,730.0,9,0.2903225806451613,1.870967741935484,730.0,4,0.13333333333333333,1,2025-12-10,v1
29051,Private room,Private room in condo,0.06666666666666667,0.058823529411764705,0.001,0.6485765124555161,False,1,True,2,Centrum-Oost,849.0,841.0,93.0,13,0.14285714285714285,1.978021978021978,730.0,12,0.3870967741935484,2.0,730.0,0,0.0,1,2025-12-10,v1
44391,Entire home/apt,Entire rental unit,0.2,0.11764705882352941,0.002,0.6485765124555161,False,1.5,False,1,Centrum-Oost,42.0,42.0,1208.0,0,0.0,3.0,730.0,0,0.0,3.0,730.0,0,0.0,1,2025-12-10,v1
48373,Entire home/apt,Entire rental unit,0.2,0.11764705882352941,0.002,1.0,False,1.5,False,1,Buitenveldert - Zuidas,5.0,5.0,591.0,0,0.0,3.0,1125.0,0,0.0,3.0,1125.0,0,0.0,1,2025-12-10,v1
49552,Entire home/apt,Entire guest suite,0.13333333333333333,0.11764705882352941,0.002,1.0,False,1,True,1,Centrum-West,609.0,605.0,106.0,51,0.5604395604395604,2.9340659340659343,1125.0,31,1.0,3.0,1125.0,14,0.4666666666666667,0,2025-12-10,v1
50263,Entire home/apt,Entire condo,0.2,0.11764705882352941,0.001,0.011565836298932384,False,1.5,False,1,Centrum-Oost,177.0,177.0,100.0,83,0.9120879120879121,2.0,1125.0,31,1.0,2.0,1125.0,27,0.9,0,2025-12-10,v1
50515,Entire home/apt,Entire townhouse,0.26666666666666666,0.17647058823529413,0.006,0.015124555160142349,False,1.5,False,1,Bos en Lommer,20.0,20.0,109.0,0,0.0,7.0,18.0,0,0.0,7.0,18.0,10,0.3333333333333333,0,2025-12-10,v1
50523,Entire home/apt,Entire condo,0.06666666666666667,0.058823529411764705,0.001,0.3238434163701068,False,1,True,1,Centrum-West,563.0,560.0,108.0,23,0.25274725274725274,1.956043956043956,365.0,20,0.6451612903225806,2.0,365.0,28,0.9333333333333333,0,2025-12-10,v1
53921,Entire home/apt,Entire rental unit,0.13333333333333333,0.058823529411764705,0.0,0.017793594306049824,False,1,False,1,IJburg - Zeeburgereiland,12.0,12.0,564.0,0,0.0,1.0,21.0,0,0.0,1.0,21.0,0,0.0,1,2025-12-10,v1
55709,Entire home/apt,Entire loft,0.06666666666666667,0.058823529411764705,0.01,0.025800711743772242,False,1.5,False,1,Centrum-Oost,69.0,68.0,211.0,0,0.0,11.0,30.0,0,0.0,11.0,30.0,0,0.0,1,2025-12-10,v1
